Company Name,Stand Info,Country,Description,Skills
Dubai Chamber of Digital Economy,"Stand No - 8D-30, Hall No - Hall 8",United Arab Emirates,"Dubai Chamber of Digital Economy, one of three chambers operating under the umbrella of Dubai Chambers, aims to strengthen Dubai’s position as a global leader in digital economy, attract specialised talent, leading companies and new investments and create a stimulating environment that supports the growth of digital companies.",No categories available
Dubai Computer Group,"Stand No - 6B-45, Hall No - Hall 6",United Arab Emirates,"Dubai Computer Group (DCG) was founded in August 2007 to represent the interests of the computer Industry in the city of Dubai. Today It has grown to represent over 200 IT companies comprising IT Distributors, Resellers, System Integrators, and Software & Networking Companies. DCG is run by an elected Board of Directors & has a fully equipped office with an Executive Secretary running the daily affairs of the association. DCG aims to bridge the gap between hardware & software manufacturers and dealers, uniting them, and helping forge new trade alliances forming an invaluable network in the industry. In an area where information is at a premium, DCG is helping provide access to all information regarding computers, peripherals, spares, software, and service & skill up-gradation. DCG provides a platform where diverse subjects such as customs duty laws, new technologies, business trends, service issues, Credit concerns, Standard Payment terms, etc for details Visit www.dcgdubai.com","Retail Tech, Mobile Accessories & Peripherals, Gaming, Consumer Tech, Smart Home & Smart Workplace, 5G & Telecommunications, Broadband Services, Cabling, Video, Wireless, Audio Systems & Equipment, Automation & IoT, Communication Equipment, Computer and Mobile Hardware, Storage & Peripherals, Digital Imaging Equipment, Electronic Components (Connection Devices, Electron Tubes, Etc), Electronic Equipment & Instruments (Barcode Readers, POS Machines, Etc), Headphones, Home Appliances, Home Entertainment Solutions / Integration Systems, Large Appliances, Power Banks, Printing Solutions, Smart Appliances / Gadgets, Smart Phones, Smart Security, Tablets / Laptops, Telecommunication, Video Systems & Equipment, Wearables, Console Gaming, Game Publishing, Gaming Equipment, Gaming Services, Mobile Gaming, PC Gaming, Accessories - AUX cables / OTG Cable, Accessories - Batteries, Accessories - Bluetooth speakers, Accessories - Car Accessories, Accessories - Cases & Covers, Accessories - Chargers, Accessories - Data Cables, Accessories - Headphones / earphones, Accessories - Memory cards, Accessories - Mifi Products, Accessories - Power Banks, Accessories - Repair equipment, materials & services, Accessories - Tempered glasses, Devices - Smart Phones, Devices -Digital Audio Player, Devices -Portable Media Players, Devices -Tablets, USB Gadgets - Card readers, USB Gadgets - USB chargers, USB Gadgets - USB storage devices, Wearables - Smart watches, Wearables - Sport & health wearables, Wearables - Wearables electronics, Payments - EFT Terminals & Software, Payments - POS Payments, Supply Chain & Logistics - Delivery & Returns, inc. Final Mile"
Dubai Government,"Stand No - 14B-50, Hall No - Hall 14",United Arab Emirates,"Digital Dubai was established by His Highness Sheikh Mohammed Bin Rashid Al Maktoum, Vice-President & Prime Minister of the UAE, and Ruler of Dubai, in June 2021 to develop and oversee the implementation of policies and strategies that govern all matters related to Dubai’s information technology, data, digital transformation, and cyber-security. Digital Dubai brings together the expertise of three entities – Dubai Electronic Security Center, Dubai Data & Statistics Establishment, Digital Dubai Government Establishment. The entity has been entrusted with four key tasks - accelerate digital transformation of the city through strategic partnerships with governments and private sector entities, increase the Emirate’s digital economy contribution to the city’s GDP, build and develop digital competencies of national talent, and, maintain and develop Dubai’s digital wealth whilst accelerating Dubai’s cybersecurity efforts.","Cyber security, Cloud Services, Big Data & Analytics, Artificial Intelligence, 5G & Telecommunications, Mobile Telecommunications & 5G, Chatbots / Virtual Assistant, Cognitive computing, Deep Learning Platforms, Cloud Solutions, Data Analytics, Data Infrastructure, Applications including Development, Deployment & Design, Application integration and infrastructure, Business Continuity & Disaster Recovery Planning"
Dubai Internet City,"Stand No - 2C-40, Hall No - Hall 2",United Arab Emirates,"Dubai Internet City is the MENA region's largest and most advanced Tech ecosystem that was created to foster the growth of the technology and communications sectors. Established in 2000, it serves as a base for global and regional companies specializing in various tech-related fields, including AI, software development, biotechnology, and telecommunications. Dubai Internet City offers state-of-the-art infrastructure, a free economic zone with tax exemptions, and a vibrant community that promotes collaboration and innovation among tech entrepreneurs and professionals. DIC not only supports startups and SMEs but also houses regional offices of major international firms like Microsoft, Google, and Facebook, making it a pivotal point in the Middle East’s tech landscape.","Big Data & Analytics, Artificial Intelligence, AgriTech & FoodTech, 5G & Telecommunications, 3D Printing & Printing Services, Digitization / services / tool and die making - Data and IT security, protection of intellectual property, Data Centres, Marine Communication Equipment & Services, Mobile Telecommunications & 5G, Digital control systems, Equipment for Vertical farming and Rooftop Farming, AI-optimized Hardware, Autonomous Mobile Robots (AMRs), Chatbots / Virtual Assistant, Cobots, Data Extraction, Deep Learning Platforms, Analytics as a service, Data Infrastructure, Data Science"
Dweera,"Stand No - 9B-31, Hall No - Hall 9",Morocco,"Linarqa is a dynamic startup that is committed to improving the quality of life for people around the world. Our vision is to create innovative platforms that empower individuals to achieve financial independence and enjoy new experiences. In 2023, we launched our flagship platform, dweera.ma, which is transforming the transportation industry. Dweera.ma is a platform that allows users to rent vehicles from local owners, providing them with a convenient and affordable way to travel. By connecting vehicle owners with those in need of transportation, we are creating a sustainable and efficient transportation ecosystem. At Linarqa, we are passionate about making a positive impact on the environment and the economy. By promoting shared mobility and reducing the number of cars on the road, we are contributing to a cleaner and more sustainable future. Join us on our mission to create a better world for all.","Sustainability & Green Climate - Tech, Smart Cities, Future Mobility & Transportation, Micromobility & E-Mobility, Mobility As A Service - Maas, Low-Emission & Electric Vehicles, Mobility & Transport, Transport Infrastructure, Energy Management & Sustainability, Mobility & Urbanization - Shared Mobility"
DWTC Test01,"Stand No - STD-102, Hall No - TBC",India,"Xporience is a cloud-based Event Management Platform that empowers leading Event Organizers to deploy cutting-edge event technology for Trade Shows and Conferences globally. Xporience offers 360 degree technology solutions to Event Organizers for Online & Onsite Event Registrations, Event Management System (EMS), Mobile Apps for events, Exhibitor Online Manual and Lead Capture App, AI powered Voicebot, and other solutions including event portal management, email marketing, surveys and interactive floor plans.","Smart Manufacturing, Unmanned Aerial Vehicles (Drones), Cyber security, 5G & Telecommunications, 3D Printing & Printing Services, Apprenticeship, Training and Qualification, Design & Product Development - Digitizing of Components, Design & Product Development - Drawing & Document Management, Marine Communication Equipment & Services, Intrusion Detection & Penetration Testing, Operations Security, Warehousing"
DXC,"Stand No - 15E-5, Hall No - Hall 15",Morocco,"Since 2007, DXC CDG, a joint venture between the global IT services leader and a top institutional investor. We specialize in assisting Vital Institutions by hosting, managing, maintaining, and securing their IT infrastructure to global standards including Cloud migration, Cyber Resilience, PASSI certification by DGSSI, 24/7 Infrastructure and Security supervision, ITIL management, Evolution Mutualization, Legal Compliance, providing comprehensive outsourcing services and delivery models tailored to each client's needs. Operating from our Sovereign certified Data Center tailored to the CDG Group's needs and its Ecosystem, we offer secure Cloud migration and Cloud Services from Morocco, complying with DGSSI directives, solidifying our role as the group's technological backbone. Offering End-to-End services, backed by sovereign and industrial ownership, we serve major sectors (Banking, Finance, Insurance, Transportation, Energy, Telecoms, Automotive, Industry, Retail...).","Data Centres, Cyber security, Cloud Services, Coding and Development, Big Data & Analytics, Applications, Artificial Intelligence, Business Intelligence, Cloud Solutions, Dashboard, Data Analytics, Data Architecture, Data back-up, Data Governance, Compliance & Security, Data Infrastructure, Data Management, Data Mining, Data Privacy / Protection, Data Science, Data Warehouse, DataOps, Devops, Digital Transformation, Geo Data, IoT, Machine Learning, Mobile Technology, NoSQL, Open Source, Operational Intelligence, Python, Real-Time Analytics, Structured Data, Text Analytics, Unstructured Data, Virtualization, Analyst, Analytics, Applications including Development, Deployment & Design, Big Data & Analytics, Business Continuity, Back-up & Disaster Recovery, Cloud Management & Optimisation, Cloud Management Platform, Cloud Service Provider - CSP, Colocation, Consultancy, Content Delivery & Management, Cost Management & Optimisation, Customer Relationship Management - CRM, Cybersecurity, Data as a Service - DAAS, Desktop as a Service - DaaS, DevOps, Edge, Fog, Enterprise Resource Planning - ERP, Governance & Compliance, High Performance Computing - HPC, Hosting, Hybrid, Hyperscale Provider, Infrastructure as a Service - IaaS, Internet Service Provider - ISP, IT Service Management - ITSM, Managed Service Provider - MSP, Migration, Monitoring, Networks, Open Source, Outsource Development, Platform as a Service - PaaS, Print Management, Private Cloud, Professional Services, Public Cloud, Recruitment, Secure Access Service Edge - SASE, Software as a Service - SaaS, Software Defined Networking - SDN, Storage, Telecommunication, Total Solution Provider, Training or Recruitement, Unified Communications, Value Added Distributor - VAD or Value Added Reseller - VAR, Virtualization, Web Hosting, Workload Management, Artificial Intelligence, Blockchain, Cloud Computing, Data Sciences, Devops, Enterprise Applications, Frontend Development, Java, Machine Learning, Operating Systems Development, Python, Web Development, Anti-spam, Anti-Malware & Anti-Virus & Email Security, Application Control, Application integration and infrastructure, Application Security, Testing & Control, Applied Security, Authentication User, Biometric Authentication and PKI, Business Continuity & Disaster Recovery Planning, Cloud Security, Cryptography, Data Governance, Risk & Compliance, Digital Forensics & Incident Response, Endpoint Protection & Mobile Security, Internet of Things (IoT) Security, Intrusion Detection & Penetration Testing, Legal, Regulations, Investigations & Compliance, Network & Infrastructure Security, Operations Security, Phishing, Ransomware, Security Architecture & Design, Security Credentials, Software Development Security, Telecommunication & Network Security, Cabling, Co-location, Compliance & Risk Management, Connectivity, Consultancy, Cooling, Data Analytics & Automation, Data Building & Verification, Data Centre Infrastructure Management, Data Centre Next Generation, Data Management Solutions, Data Warehousing, DC Life Cycle Analysis, Disaster Recovery, Edge Solutions, Energy Efficiency, Facilities Management, Fire Prevention, Fuel & Oil Solutions, Heating & Ventilation, Innovation Data Centre Design, Micro Data Centres, Power Distribution, Power Management, Security - Data & Virtual, Security - Physical, Servers & Hardware, Training, Transportation"
DXC-CDG,"Stand No - 15D-1, Hall No - Hall 15",Morocco,"Since 2007, DXC CDG, a joint venture between the global IT services leader and a top institutional investor. We specialize in assisting Vital Institutions by hosting, managing, maintaining, and securing their IT infrastructure to global standards including Cloud migration, Cyber Resilience, PASSI certification by DGSSI, 24/7 Infrastructure and Security supervision, ITIL management, Evolution Mutualization, Legal Compliance, providing comprehensive outsourcing services and delivery models tailored to each client's needs. Operating from our Sovereign certified Data Center tailored to the CDG Group's needs and its Ecosystem, we offer secure Cloud migration and Cloud Services from Morocco, complying with DGSSI directives, solidifying our role as the group's technological backbone. Offering End-to-End services, backed by sovereign and industrial ownership, we serve major sectors (Banking, Finance, Insurance, Transportation, Energy, Telecoms, Automotive, Industry, Retail...).","Data Centres, Cyber security, Cloud Services, Coding and Development, Big Data & Analytics, Applications, Artificial Intelligence, Business Intelligence, Cloud Solutions, Dashboard, Data Analytics, Data Architecture, Data back-up, Data Governance, Compliance & Security, Data Infrastructure, Data Management, Data Mining, Data Privacy / Protection, Data Science, Data Warehouse, DataOps, Devops, Digital Transformation, Geo Data, IoT, Machine Learning, Mobile Technology, NoSQL, Open Source, Operational Intelligence, Python, Real-Time Analytics, Structured Data, Text Analytics, Unstructured Data, Virtualization, Analyst, Analytics, Applications including Development, Deployment & Design, Big Data & Analytics, Business Continuity, Back-up & Disaster Recovery, Cloud Management & Optimisation, Cloud Management Platform, Cloud Service Provider - CSP, Colocation, Consultancy, Content Delivery & Management, Cost Management & Optimisation, Customer Relationship Management - CRM, Cybersecurity, Data as a Service - DAAS, Desktop as a Service - DaaS, DevOps, Edge, Fog, Enterprise Resource Planning - ERP, Governance & Compliance, High Performance Computing - HPC, Hosting, Hybrid, Hyperscale Provider, Infrastructure as a Service - IaaS, Internet Service Provider - ISP, IT Service Management - ITSM, Managed Service Provider - MSP, Migration, Monitoring, Networks, Open Source, Outsource Development, Platform as a Service - PaaS, Print Management, Private Cloud, Professional Services, Public Cloud, Recruitment, Secure Access Service Edge - SASE, Software as a Service - SaaS, Software Defined Networking - SDN, Storage, Telecommunication, Total Solution Provider, Training or Recruitement, Unified Communications, Value Added Distributor - VAD or Value Added Reseller - VAR, Virtualization, Web Hosting, Workload Management, Artificial Intelligence, Blockchain, Cloud Computing, Devops, Enterprise Applications, Frontend Development, Java, Machine Learning, Operating Systems Development, Python, Web Development, Anti-spam, Anti-Malware & Anti-Virus & Email Security, Application Control, Application integration and infrastructure, Application Security, Testing & Control, Applied Security, Authentication User, Biometric Authentication and PKI, Business Continuity & Disaster Recovery Planning, Cloud Security, Cryptography, Data Governance, Risk & Compliance, Digital Forensics & Incident Response, Endpoint Protection & Mobile Security, Internet of Things (IoT) Security, Intrusion Detection & Penetration Testing, Legal, Regulations, Investigations & Compliance, Network & Infrastructure Security, Operations Security, Phishing, Ransomware, Security Architecture & Design, Security Credentials, Software Development Security, Telecommunication & Network Security, Cabling, Co-location, Compliance & Risk Management, Connectivity, Consultancy, Cooling, Data Analytics & Automation, Data Building & Verification, Data Centre Infrastructure Management, Data Centre Next Generation, Data Management Solutions, Data Warehousing, DC Life Cycle Analysis, Disaster Recovery, Edge Solutions, Energy Efficiency, Facilities Management, Fire Prevention, Fuel & Oil Solutions, Heating & Ventilation, Innovation Data Centre Design, Micro Data Centres, Power Distribution, Power Management, Security - Data & Virtual, Security - Physical, Servers & Hardware, Transportation, Training"
DYN IT MAROC,"Stand No - 4B-25, Hall No - Hall 4",Morocco,Dyn IT Maroc offre une gamme de services axés sur la transformation digitale et l’intelligence artificielle,"Education Tech, Cloud Services, Big Data & Analytics, Artificial Intelligence, Chatbots / Virtual Assistant, Computer Vision, Data Extraction, Deep Learning Platforms, Facial / Iris Recognition, Machine Learning, Natural Language Processing (NLP), Neural Networks, Optical character recognition (OCR), Predictive APIs, Real time translation, Speech Recognition, Business Intelligence, Cloud Solutions, Dashboard, Data Analytics, Data Architecture, Data Integration, Data Lake, Data Management, Data Science, Data Visualisation, Data Warehouse, DataOps, Devops, Extract, transform, load - ETL, Machine Learning, Natural Language Processing - NLP, Structured Query Language - SQL, Data as a Service - DAAS, DevOps, Training or Recruitement, Learning strategy, Training centre resources"
E-Doc Online,"Stand No - 18C-32, Hall No - Hall 18",United Kingdom,"E-doc is developing a Pan African Financial Data Connectivity Infrastructure to address the hurdles related to Credit Assessment and Regulatory Compliance Obligations for Market Access, primarily because financial data is often scarce in African countries and connectivity to other markets is restricted. Even when financial data is accessible, its interpretation poses significant challenges, thus obstructing market access. B2B organizations face difficulties in meeting regulatory obligations in Emerging markets due to issues such as legacy infrastructure and limited financial data for stringent regulatory requirements, which hinder both growth and market access. E-doc offers an Open Banking solution designed to streamline financial data for regulatory compliance checks, resulting in an 80% reduction in time and costs. Our service supports both direct customer sales models and third-party access (Banking as a Service), facilitating market access for multiple B2B use cases.","Digital Finance, Regulatory Technology, Big Data & Analytics, Analytics as a service, Digital Lending, E-KYC, E-Payment Solutions, Lending / P2P Lending, Open Banking / API, RegTech / Audit / Regulatory Compliance"
E-Tech Services Private Limited,"Stand No - 8L-35, Hall No - Hall 8",India,"E-Tech Services is a leading IT Solutions Company based in New Delhi NCR region. E-Tech is among the first few to provide full range of MIS and Health Care solutions and services to major development organizations. We specialize in providing turnkey business solutions, right from conception to execution to match the client's business requirements. Our expertise is to develop web and mobile based applications with dynamic dashboards designed for Data Analysis, Monitoring and Evaluation of projects. Our recent success includes developing specialized Mobile and Web apps for WHO, UNDP, Ministry of Health and Family Welfare (MoHFW), IPE GLOBAL, Evidence Action, ABT Associates, Micronutrient Initiative, Clinton health Access Initiative, Evidence Action, Reckitt and Plan India funded by international organizations such as Bill & Melinda Gates Foundation (BMGF), USAID, IKEA Foundation, Medtronic Foundation etc. We also have SFA & ERP software products for pharmaceutical and FMCG industries.","Software Services, Smart Cities, HealthTech, Cloud Services, Coding and Development, Open Source, Outsource Development, Professional Services, Software as a Service - SaaS, Backend Development, Cloud Computing, Compilers, Devops, Enterprise Applications, Frontend Development, Java, Web Development, Community Health Services, Government, Healthcare Consultancy Service, Healthcare IT, Digital Health Solutions, Business Intelligence Solutions, Business Process Management, CRM (Customer Relationship Management) Software, ERP (Enterprise Resource Planning) Software, Mobile Applications"
"East Apex Guangzhou Co., Ltd","Stand No - 7E-2, Hall No - Hall 7",China,"Established in 2021, East Apex is an innovative company oriented Bluetooth smart wearables development and focuses on development of advanced embedded software on the MCU, independently develops core algorithms and APP software for exercise, sleep, heart rate, blood oxygen etc., and provides highly competitive smart wearable products and solutions for global brand partners. The R&D team engineers come from the smart wearable industry, and the core R&D personnel have nearly 10 years of experience in wearable product development. After years of technology accumulation, based on software development, hardware design and cloud services, the team has established strategic partnerships with industry-leading intelligent manufacturing and supply chain companies to build professional service from design, development, manufacturing to delivery.","Consumer Tech, Smart Home & Smart Workplace, Healthcare Electronics, Smart Appliances / Gadgets, Wearables"
EBRD,"Stand No - 8F-1, Hall No - Hall 8",United Kingdom,"Since its inception in 2019, the EBRD’s Star Venture programme has supported promising start-ups, accelerators and ecosystem players in the EBRD’s countries of operation to unleash their full potential and scale rapidly. The programme is currently operating in 26 countries and has supported over 750 start-ups, 33 accelerators and various types of ecosystem players including government agencies and local consultants. One of the programme's key strengths is its ability to tap into a dedicated network of mentors and advisers, offering a range of bespoke advisory services and industry best practices to its beneficiaries. Especially under ‘Scaling Support’, a selected number of high potential start-ups benefit from a comprehensive package, including business diagnostics workshops, mentorship by top-notch mentors, professional consultancy services from both international and local experts, business matching support with potential partners and investors, and access to e-learning services.",No categories available
Ecobank,"Stand No - 19C-10, Hall No - Hall 19",Togo,"Ecobank Group is the leading private pan-African financial services group with unrivalled African expertise. Present in 35 sub-Saharan African countries, as well as France, the UK, UAE and China, its unique pan-African platform provides a single gateway for payments, cash management, trade and investment. The Group employs over 15,000 people and offers Consumer, Commercial, Corporate and Investment Banking products, services and solutions across multiple channels, including digital, to over 32 million customers. For further information, please visit ecobank.com.","Digital Finance, Artificial Intelligence, Artificial Intelligence, Banking Solutions, Big Data / Digitisation / Analytics, Digital Lending, Emerging Tech, Islamic Fintech / Shariya Compliant, Open Banking / API, Payment Gateways, Payments / Wallets / Exchange Gateways, RegTech / Audit / Regulatory Compliance, Robotic Process Automation, Transactional Platforms"
Ecobiotech,"Stand No - 6D-40, Hall No - Hall 6",Poland,"ECOBIOTECH is a company that uses biotechnological processes to solve problems of the contaminated environment, neutralizes the negative impact of industry and introduces biotechnological solutions to the agricultural sector. It engages bacterial cultures in the agricultural sector through its products. preparations, it engages bacterial cultures acting in symbiosis for ecological de- toxication of the environment. The company's potential lies primarily in cutting-edge solutions for the reclamation of the environment. solutions aimed at the reclamation of contaminated land and materials and waste in a manner responsibly, without requiring a huge infrastructure, and available both logistically tional as well as feasible anywhere in the world.","AgriTech & FoodTech, Agri-Biometrics, Aquaculture novel technologies, Bioreactors, Green Productivity, Land-based aquaculture system, Organic Agriculture, Precision Agriculture, Smart Farming and Connectivity, Soil Plant Health"
ECOLE MAROCAINE DES SCIENCES DE L'INGENIEUR (EMSI),"Stand No - 21A-12, Hall No - Hall 21",Morocco,"EMSI, a top-tier Moroccan engineering institution, delivers academic excellence and highly sought-after graduates. Our programs are designed in close collaboration with industry, ensuring our students are prepared for immediate success in the workforce.",No categories available
ED-ALL,"Stand No - 9F-22, Hall No - Hall 9",Morocco,"Koolskools focuses on promoting educational innovation through educational technology. Our web platform, www.koolskools.com, and our mobile applications available on the App Store and Google Play Store, we offer teachers, parents and students modern tools for an enriching educational experience. We aim to encourage the adoption of innovative teaching methods, this contributing to the continuous improvement of the educational landscape.",No categories available
Eden Care,"Stand No - 17B-77, Hall No - Hall 17",Rwanda,"Eden Care provides digital health insurance and wellness services, prioritizing innovation, transparency, and customer satisfaction. Our offerings include comprehensive health coverage for individuals and companies, as well as holistic well-being solutions encompassing fitness, nutrition, mental health, and medical check-ups. With a commitment to excellence and customer-centric values, we aim to secure funding to expand our reach and enhance our services, ultimately making happy and healthy lives accessible to all.??","Education Tech, Big Data & Analytics, Digital Finance, Insurance Solutions, Artificial Intelligence, Digital Payment, Assessment and testing"
edge Middle East,"Stand No - 21J-2, Hall No - Hall 21",United Arab Emirates,"edge serves as the voice for the latest trends, innovations, and developments in the tech world. Building on the 25-year legacy of ITP.net, edge offers an unmatched outlook on how technology is transforming our lives and reshaping industries. It brings the latest insights from leading experts in the regional and global tech scenes. The ‘edge’ is where innovation thrives and the impossible becomes possible. That’s exactly what we bring you – a glimpse into the most exciting and groundbreaking developments in tech, from cloud to AI and machine learning, blockchain, quantum computing and more! Join us as we explore the frontiers of tech, uncover new possibilities, and challenge conventional thinking. www.edgemiddleeast.com",No categories available
EdTrust,"Stand No - 13B-10, Hall No - Hall 13",Tunisia,"EdTrust is transforming education with innovative tech solutions tailored for schools, teachers, parents, and students. Our flagship product, EdManager, simplifies admin tasks like attendance, grade management, payroll and more, enhancing school efficiency. EdTeacher improves teaching experiences with course management tools and interactive sessions, fostering collaboration, providing personalized learning experiences, making education accessible, engaging, and effective for all stakeholders. EdParent bridges the gap between parents and teachers, offering real-time updates and direct communication.",No categories available
Edukaskills Akademy,"Stand No - 5D-40, Hall No - Hall 5",Morocco,"Notre stratégie se concentre sur l'amélioration des performances et la satisfaction de nos apprenants, en adoptant un modèle d'apprentissage et des méthodes pédagogiques innovants et dynamiques. Notre ambition est de devenir un leader international en formation continue, en mettant l'humain au cœur de notre démarche et en intégrant les dernières avancées technologiques. Nos prestations de formation & d'accompagnement Conseil & Accompagnement, Certificats professionnels, Séminaires d’experts, Learning expéditions / Team building, Serious games / business games, Coaching et mentorat, Tables rondes, Webinaires, MOOCs, Micro Learning",No categories available
Egle Invest,"Stand No - 9H-24, Hall No - Hall 9",Morocco,"We are a Moroccan startup set to launch our product no later than Q4 2024, with the ambition of being the first company to democratize stock market investment in Morocco. Our approach involves financial education for students and recent graduates, facilitating access to investments starting from 30 MAD. Egle will be the first Moroccan company to offer a 24/7 service with instant withdrawals and deposits. All this will be accessible through a mobile application providing high-quality economic information (in partnership with local specialized newspapers and financial education institutions), user-friendly, intuitive, and with minimal fees. Additionally, Egle plans to include the Moroccan diaspora, enabling easy investment in local stocks without money transfers or significant banking fees. We aim to expand into the African market after establishing a presence in Morocco & Europe.","Digital Finance, E-Payment Solutions, E-Wallets, Open Banking / API, Payments / Wallets / Exchange Gateways, Transactional Platforms"
Ego for Information Technology,"Stand No - 4D-22, Hall No - Hall 4",Saudi Arabia,A leading Saudi company in the field of information technology and distinguished by providing Smart technology products in directed transportation services. When was Ego established? Ego was established in 2017 with a Saudi vision and expertise. Our products: Ego's main products currently consist of two applications: Mobile App for Customers Mobile App for Drivers,No categories available
Electronics and Computer Software Export Promotion Council,"Stand No - 8L-01 to 8L-08, 8L-34 to 8L-35, 8M-01 to 8M-08, Hall No - Hall 8",India,"Electronics and Computer Software Export Promotion Council (ESC) is India’s apex trade promotion organisation mandated to promote India’s exports of Electronics, Telecom, Computer Software and IT Enabled Services. ESC has built a strong membership base of over 2800 manufacturers and exporters across the country covering the entire gamut of Electronics and Software Industry in the following areas: Consumer Electronics Electronic Components Instrumentation Telecommunication Computer Hardware and Peripherals Computer Software and IT Enabled Services In an Industry where the degree of technological obsolescence is very high, ESC is striving hard to elevate India’s position in the international trading arena of the Electronics and Computer Software.","3D Printing & Printing Services, Design & Product Development - 3D Mapping, Design & Product Development - Digitizing of Components, Digitization / services / tool and die making - Data and IT security, protection of intellectual property, Digitization / services / tool and die making - Digitization and software, Manufacturing preparation / pre-processing - Material handling, storage & logistics, Manufacturing preparation / pre-processing - Metal or Resin 3D Printers"
ElGameya,"Stand No - 8C-05, Hall No - Hall 8",Egypt,"ElGameya is a fintech startup that digitizes the ROSCA model through a mobile app solving the hassle of managing traditional cycles, on-time payments, money collection, and default rates. By matching individuals based on their specifications and allowing periodic payments through the app, ElGameya ensures flexibility in choosing cycle specifications, on-time payouts, and guaranteed payments regardless of other participants' behavior. ElGameya also solves the issue of accessing funds with its zero interest solution; allowing individuals to be in control of their finances and promoting financial inclusion. Our mobile app enables users to join cycles, pay their monthly installments digitally, and receive their payout seamlessly. With cutting-edge technology, we ensure secure transactions and provide top-notch customer satisfaction. Our mission is to empower individuals and families to take control of their finances and build a brighter future.",No categories available
ELISSA DISTRIBUTION SARL,"Stand No - 6D-83, Hall No - Hall 6",Cote d'Ivoire (Ivory Coast),"ELISSA DISTRIBUTION est une Holding constituée de plusieurs entreprises exerçants principalement dans la vente de matériels informatiques, consommables, télécommunications, bureautiques, librairies, sécurités électroniques. Notre relation directe avec l’ensemble du réseau de distribution des grossistes et des fabricants présents dans le monde entier nous permet de vous offrir une gamme de produits très large, des prix très compétitifs et un délai de livraison optimal. Importateur ou distributeur officiel agréé, notre catalogue est composé avec les grandes marques mondialement reconnues . Inspirés par notre ambition et par la puissance de la technologie pour stimuler le progrès humain, nous avons créé nos propres marques OLA et ELITE. Elles sont spécialisées dans les UPS ,Multiprises parafoudre et intelligentes, Powerbank, Coffret informatique, Consommables, POS, imprimante thermique, tiroir de caisse, compteuse de billets. Service Après-vente","Mobile Accessories & Peripherals, Ecommerce, Consumer Tech, Smart Home & Smart Workplace, Blockchain, 5G & Telecommunications, Cabling, Mobile Telecommunications & 5G, PABX Equipment & Services, Video, Cloud / IoT / Smart Cities, Enterprise Software / Operating Systems, Security / Cybersecurity, Telecoms & Mobility, Audio Systems & Equipment, Computer and Mobile Hardware, Storage & Peripherals, Digital Imaging Equipment, Electronic Equipment & Instruments (Barcode Readers, POS Machines, Etc), Headphones, Home Appliances, Large Appliances, Office Automation & Equipment, Smart Appliances / Gadgets, Smart Phones, Smart Security, Tablets / Laptops, Telecommunication, Video Systems & Equipment, Wearables, eCommerce Software, Security / Cybersecurity, Web App, Design and Development, Accessories - Bluetooth speakers, Accessories - Car Accessories, Accessories - Cases & Covers, Accessories - Data Cables, Accessories - Headphones / earphones, Accessories - Memory cards, Accessories - Mifi Products, Devices - Smart Phones, Devices -Digital Audio Player, Devices -Portable Media Players, Devices -Tablets, USB Gadgets - USB storage devices, Wearables - Smart watches"
Elm,"Stand No - 15D-40, Hall No - Hall 15",Saudi Arabia,"We offer a wide range of ready-made and customized digital solutions in many areas. By availing of our diverse and flexible business models, we ensure providing products that are seemingly tailored to customers' needs and aspirations. Our ready-made solutions serve a broad segment of customers. They can subscribe to different packages of their choosing to meet their needs and suffice business requirements. Our customized solutions are projects that are specifically designed to provide customers with the right products that can cover business gaps and meet their needs.",No categories available
Elytis,"Stand No - 11A-14, Hall No - Hall 11",Mauritius,"Elytis is a top-class distributor for more than 20 leading global brands in IT equipment and software. Based in Mauritius with worldwide connectivity, proven skills, industry-approved certification, market acumen and bilingual (French and English) abilities, we serve territories in Africa, the Indian Ocean and the French Pacific region. Our 70+ members of staff bring to our resellers and to their clients a unique blend of technical knowhow, business knowledge and training abilities. Elytis has a clear edge spanning over all the territories we serve, creating greater value and catalysing rewards for our partners and for their customers.","Cyber security, Cloud Services, Business Continuity, Back-up & Disaster Recovery, Cloud Management & Optimisation, Cloud Management Platform, Cloud Service Provider - CSP, Cybersecurity, Managed Service Provider - MSP, Public Cloud, Secure Access Service Edge - SASE, Software as a Service - SaaS, Storage, Unified Communications, Value Added Distributor - VAD or Value Added Reseller - VAR, Anti-spam, Anti-Malware & Anti-Virus & Email Security, Cloud Security, Digital Forensics & Incident Response, Endpoint Protection & Mobile Security, Network & Infrastructure Security, Ransomware, Telecommunication & Network Security"
emaratech,"Stand No - 15D-50, Hall No - Hall 15",United Arab Emirates,"emaratech is as part of the Investment Corporate of Dubai, the leading online technology solutions and consulting company in the Arab world",No categories available
Emigrante CV,"Stand No - 9K-15, Hall No - Hall 9",Cape Verde,"Emigrante CV was founded in 2020 by three young entrepreneurs: Nelson Varela, Aquilino Correia, and Éder Correia. This platform was created to assist emigrants in navigating the challenges of the migration process, from pre-emigration to settling into their new country. It serves as a community hub where emigrants and experienced residents can offer consultancy services and guidance, helping newcomers minimize the obstacles they may encounter in their destination country. Emigrante CV was selected in 2022 to represent Cabo Verde at the world's largest technology fair, WebSummit. This recognition was a significant achievement and provided an invaluable opportunity to showcase the platform on a global stage, receive feedback, and gather insights to accelerate its development.",No categories available
