Company,Stand Info,Country,Description,Keywords,combined_text,competitor
ITANCIA,"Stand No- 6C-20, Hall 6",Morocco,"The 3 pillars of our business : Itancia Technology, the group’s distribution business, selects and offers innovative technology solutions from over 75 market-leading brands to meet all needs. As a service provider, Itancia Facto ...","Digital Finance, Future Mobility & Transportation, Education Tech, Data Centres, Cyber security, Anti-spam, Anti-Malware & Anti-Virus & Email Security, Application Control, Application integration and infrastructure, Application Security, Testing & Control, Applied Security","ITANCIA Digital Finance, Future Mobility & Transportation, Education Tech, Data Centres, Cyber security, Anti-spam, Anti-Malware & Anti-Virus & Email Security, Application Control, Application integration and infrastructure, Application Security, Testing & Control, Applied Security The 3 pillars of our business : Itancia Technology  the group’s distribution business  selects and offers innovative technology solutions from over 75 market-leading brands to meet all needs. As a service provider  Itancia Facto ...",8
ITC / NTF V,"Stand No- 2A-9, Hall 2",Switzerland,"Practical support for trade-led business The world faces monumental economic challenges, with the most vulnerable battered by social and economic instability. We at ITC are working to change this through trade for good. We offer ...",,ITC / NTF V  Practical support for trade-led business The world faces monumental economic challenges  with the most vulnerable battered by social and economic instability. We at ITC are working to change this through trade for good. We offer ...,1
ITHACA,"Stand No- 12C-35, Hall 12",Netherlands,"ITHACA, a subsidiary of the TKH GROUP, was established in 1991. It operates as a distributor of security systems, fire alarms, intrusion detection systems, access control systems, nurse call systems, door automation systems, inter ...","Networking & Infrastructure, HealthTech, Data Centres, Cyber security, 5G & Telecommunications, Broadband Services, Cabling, Communication Equipment, Data Centres, IP Communications & Applications","ITHACA Networking & Infrastructure, HealthTech, Data Centres, Cyber security, 5G & Telecommunications, Broadband Services, Cabling, Communication Equipment, Data Centres, IP Communications & Applications ITHACA  a subsidiary of the TKH GROUP  was established in 1991. It operates as a distributor of security systems  fire alarms  intrusion detection systems  access control systems  nurse call systems  door automation systems  inter ...",2
ITZR TEHCNOLOGY,"Stand No- 6E-8, Hall 6",China,"Shenzhen ITZR Technology Co., Ltd started as a computer motherboard R&D house back to earlier 2001, and has grown to become an IS014001 & IS09001-certified major vendor in Laptop, AII-in-One PC, Mini PC, Tablet PC and computer acc ...","Networking & Infrastructure, Internet of Things (IOT), Gaming, Consumer Tech, Smart Home & Smart Workplace, 5G & Telecommunications, Mobile Telecommunications & 5G, Computer and Mobile Hardware, Storage & Peripherals, Tablets / Laptops, PC Gaming, IoT Solutions","ITZR TEHCNOLOGY Networking & Infrastructure, Internet of Things (IOT), Gaming, Consumer Tech, Smart Home & Smart Workplace, 5G & Telecommunications, Mobile Telecommunications & 5G, Computer and Mobile Hardware, Storage & Peripherals, Tablets / Laptops, PC Gaming, IoT Solutions Shenzhen ITZR Technology Co.  Ltd started as a computer motherboard R&D house back to earlier 2001  and has grown to become an IS014001 & IS09001-certified major vendor in Laptop  AII-in-One PC  Mini PC  Tablet PC and computer acc ...",3
IVS (IDEH VARZAN SYSTEM),"Stand No- 8K-03, Hall 8",Iran,"Ideh Varzan System (IVS) was established in 2014 with the goal of producing new and comprehensive software products to address critical business issues. IVS has developed intelligent and innovative software, taking into ac ...",,IVS (IDEH VARZAN SYSTEM)  Ideh Varzan System (IVS) was established in 2014 with the goal of producing new and comprehensive software products to address critical business issues. IVS has developed intelligent and innovative software  taking into ac ...,9
IWOMI TECHNOLOGIES,"Stand No- 18C-36, Hall 18",Cameroon,"Building financial products in Africa typically requires 1-3 years, is costly, and bureaucratic. IWOMI is the leading BaaS provider in Central Africa, enabling Banks, MFIs and Fintechs to launch new products in record time, fully ...",,IWOMI TECHNOLOGIES  Building financial products in Africa typically requires 1-3 years  is costly  and bureaucratic. IWOMI is the leading BaaS provider in Central Africa  enabling Banks  MFIs and Fintechs to launch new products in record time  fully ...,1
IYADA,"Stand No- 9A-22, Hall 9",Morocco,"IYADA software is designed to help doctors in Morocco manage their practices. It offers features like appointment scheduling, patient records, billing, and stock management. Accessible from mobiles and web, IYADA improves efficien ...",,IYADA  IYADA software is designed to help doctors in   manage their practices. It offers features like appointment scheduling  patient records  billing  and stock management. Accessible from mobiles and web  IYADA improves efficien ...,2
IZEM CONSULTING,"Stand No- 9C-29, Hall 9",Morocco,"IZEM Consulting: Revolutionizing Energy Management IZEM Consulting leads in energy management with VisualMetric, our flagship product revolutionizing real-time monitoring. Integrating AI and machine learning, we deliver reliable, ...",,IZEM CONSULTING  IZEM Consulting: Revolutionizing Energy Management IZEM Consulting leads in energy management with VisualMetric  our flagship product revolutionizing real-time monitoring. Integrating AI and machine learning  we deliver reliable  ...,4
JABRA,"Stand No- 6C-10, Hall 6",Denmark,"Jabra is a world leading brand in audio, video and collaboration solutions – engineered to empower consumers and businesses. Proudly part of GN Group, we are committed to bringing people closer to one another and to what is impo ...","Creative Economy, Education Tech, Consumer Tech, Smart Home & Smart Workplace, Artificial Intelligence, 5G & Telecommunications, Communication Equipment, Video, Wireless, AI-optimized Hardware, Audio Systems & Equipment","JABRA Creative Economy, Education Tech, Consumer Tech, Smart Home & Smart Workplace, Artificial Intelligence, 5G & Telecommunications, Communication Equipment, Video, Wireless, AI-optimized Hardware, Audio Systems & Equipment Jabra is a world leading brand in audio  video and collaboration solutions – engineered to empower consumers and businesses. Proudly part of GN Group  we are committed to bringing people closer to one another and to what is impo ...",8
JAFIFE,"Stand No- 8H-16, Hall 8",Morocco,"JAFIFE is a technology company that enables IT-based drying in smart solar dryers. Our vision : To be pioneers of innovation, distinguished in building and protecting the future. Our mission : We seek to promote the use of green t ...","Software Services, Energy Tech, Big Data & Analytics, Artificial Intelligence, AgriTech & FoodTech, Agri-Data and Analytics, Agricultural Marketplaces, Agriculture 4.0 (Crop Production and Livestock), Autonomous systems, Climate-Smart Agriculture","JAFIFE Software Services, Energy Tech, Big Data & Analytics, Artificial Intelligence, AgriTech & FoodTech, Agri-Data and Analytics, Agricultural Marketplaces, Agriculture 4.0 (Crop Production and Livestock), Autonomous systems, Climate-Smart Agriculture JAFIFE is a technology company that enables IT-based drying in smart solar dryers. Our vision : To be pioneers of innovation  distinguished in building and protecting the future. Our mission : We seek to promote the use of green t ...",4
JAITESTE.COM,"Stand No- 21F-24, Hall 21",Morocco,"JaiTesté is a media powerhouse with the premier performance catalyst app for restaurateurs, hoteliers, and beauty/leisure centers. It offers unparalleled visibility and reputation among a verified and engaged community, ensuring ...","Media, Marketing & Advertising Tech, Artificial Intelligence, Chatbots / Virtual Assistant, Deep Learning Platforms, AdTech, Artificial Intelligence, Audio, Pod Casts & Video Marketing, Broadcasting, Content Creation, Content Marketing","JAITESTE.COM Media, Marketing & Advertising Tech, Artificial Intelligence, Chatbots / Virtual Assistant, Deep Learning Platforms, AdTech, Artificial Intelligence, Audio, Pod Casts & Video Marketing, Broadcasting, Content Creation, Content Marketing JaiTesté is a media powerhouse with the premier performance catalyst app for restaurateurs  hoteliers  and beauty/leisure centers. It offers unparalleled visibility and reputation among a verified and engaged community  ensuring ...",8
JALIOS,"Stand No- 5A-3, Hall 5",France,"Leader d’Intranet et Digital Workplace, Jalios fournit une plateforme collaborative pour rendre durablement l’organisation plus efficace","Software Services, Cloud Services, Blockchain, Artificial Intelligence, Chatbots / Virtual Assistant, Enterprise Software / Operating Systems, Software as a Service - SaaS, Mobility Enterprise Solutions","JALIOS Software Services, Cloud Services, Blockchain, Artificial Intelligence, Chatbots / Virtual Assistant, Enterprise Software / Operating Systems, Software as a Service - SaaS, Mobility Enterprise Solutions Leader d’Intranet et Digital Workplace  Jalios fournit une plateforme collaborative pour rendre durablement l’organisation plus efficace",8
JAMSTICKS INDIA PRIVATE LIMITED,"Stand No- 21J-11, 21J-12, Hall 21",India,"At Sprig, we take pride in offering a comprehensive range of mobile accessories, specialising in mobile back covers and screen guards. In just four years, we've sold over 7000+ SKUs for 200+ phone models, offering 50+ colors and ...","Mobile Accessories & Peripherals, Accessories - Cases & Covers, Accessories - Chargers, Accessories - Data Cables, Accessories - Mifi Products, Accessories - Tempered glasses, USB Gadgets - USB chargers, Wearables - Smart watches","JAMSTICKS INDIA PRIVATE LIMITED Mobile Accessories & Peripherals, Accessories - Cases & Covers, Accessories - Chargers, Accessories - Data Cables, Accessories - Mifi Products, Accessories - Tempered glasses, USB Gadgets - USB chargers, Wearables - Smart watches At Sprig  we take pride in offering a comprehensive range of mobile accessories  specialising in mobile back covers and screen guards. In just four years  we've sold over 7000+ SKUs for 200+ phone models  offering 50+ colors and ...",1
JAPAN EXTERNAL TRADE ORGANISATION - JETRO,"Stand No- 21G-15, Hall 21",Japan,"Japan External Trade Organization- JETRO, is a Japanese government-related organization under the Ministry of Economy, Trade and Industry (METI) of Japan. JETRO aims to promotes mutual trade and investment between Japan and the r ...",,JAPAN EXTERNAL TRADE ORGANISATION - JETRO  Japan External Trade Organization- JETRO  is a Japanese government-related organization under the Ministry of Economy  Trade and Industry (METI) of Japan. JETRO aims to promotes mutual trade and investment between Japan and the r ...,1
JEUNESSE FRANCOPHONE,"Stand No- 21A-3, Hall 21","Congo, Democratic Republic Of The",La Promotion des Jeunes de l'espace Francophones,"Big Data & Analytics, Artificial Intelligence, AgriTech & FoodTech, 5G & Telecommunications, 3D Printing & Printing Services, Apprenticeship, Training and Qualification, Design & Product Development - 3D Data Utilization, Design & Product Development - 3D Mapping, Design & Product Development - Digitizing of Components, Design & Product Development - Engineering and part design","JEUNESSE FRANCOPHONE Big Data & Analytics, Artificial Intelligence, AgriTech & FoodTech, 5G & Telecommunications, 3D Printing & Printing Services, Apprenticeship, Training and Qualification, Design & Product Development - 3D Data Utilization, Design & Product Development - 3D Mapping, Design & Product Development - Digitizing of Components, Design & Product Development - Engineering and part design La Promotion des Jeunes de l'espace Francophones",6
JIHAD BERAICH,"Stand No- 21H-24, Hall 21",Morocco,AFRIHEALTH SOLUTIONS provides and develops hospital information systems and software for hospitals. These systems are designed to facilitate the management of all medical and administrative information within a hospital and are cu ...,,JIHAD BERAICH  AFRIHEALTH SOLUTIONS provides and develops hospital information systems and software for hospitals. These systems are designed to facilitate the management of all medical and administrative information within a hospital and are cu ...,2
JISULIFE,"Stand No- 6D-41, Hall 6",China,JISULIFE is a solution provider pivots on creative and sustainable gadgets for personal space. JISULIFE is the world’s No.1 Portable Fan brand(Data source: Euromonitor) 8 years of experience in the lifestyle industry and specia ...,"Consumer Tech, Smart Home & Smart Workplace, Electronic Components (Connection Devices, Electron Tubes, Etc), Home Appliances, Leisure, Health & Lifestyle Wearables, Personal Care Applicances, Smart Appliances / Gadgets","JISULIFE Consumer Tech, Smart Home & Smart Workplace, Electronic Components (Connection Devices, Electron Tubes, Etc), Home Appliances, Leisure, Health & Lifestyle Wearables, Personal Care Applicances, Smart Appliances / Gadgets JISULIFE is a solution provider pivots on creative and sustainable gadgets for personal space. JISULIFE is the world’s No.1 Portable Fan brand(Data source: Euromonitor) 8 years of experience in the lifestyle industry and specia ...",2
JITONG,"Stand No- 12E-15, Hall 12",China,"Ningbo Jitong Electronics Co., Ltd. is located in the beautiful port city - Ningbo. We are specialized in manufacturing all kinds of optical components, moulds and precise metal parts. Our yearly output of FTTH products has reache ...","Mobile Accessories & Peripherals, Internet of Things (IOT), Data Centres, 5G & Telecommunications, Cabling, Data Centres, Fixed Line Telecommunications, Mobile Telecommunications & 5G, Satellite & Distribution, Cabling","JITONG Mobile Accessories & Peripherals, Internet of Things (IOT), Data Centres, 5G & Telecommunications, Cabling, Data Centres, Fixed Line Telecommunications, Mobile Telecommunications & 5G, Satellite & Distribution, Cabling Ningbo Jitong Electronics Co.  Ltd. is located in the beautiful port city - Ningbo. We are specialized in manufacturing all kinds of optical components  moulds and precise metal parts. Our yearly output of FTTH products has reache ...",1
JOB UP,"Stand No- 21H-18, 21H-17, Hall 21",Morocco,"The idea of creating JobUp emerged after the Covid-19 health crisis. With the impact of lockdown on the job market,Today, JobUp leverages technology and innovation to meet these needs. JobUp provides an opportunity for those witho ...","Creative Economy, Cloud Services, Blockchain, Artificial Intelligence, 3D Printing & Printing Services, Apprenticeship, Training and Qualification, Digitization / services / tool and die making - Data and IT security, protection of intellectual property, Chatbots / Virtual Assistant, Natural Language Generation (NLG), Payments / Wallets / Exchange Gateways","JOB UP Creative Economy, Cloud Services, Blockchain, Artificial Intelligence, 3D Printing & Printing Services, Apprenticeship, Training and Qualification, Digitization / services / tool and die making - Data and IT security, protection of intellectual property, Chatbots / Virtual Assistant, Natural Language Generation (NLG), Payments / Wallets / Exchange Gateways The idea of creating JobUp emerged after the Covid-19 health crisis. With the impact of lockdown on the job market Today  JobUp leverages technology and innovation to meet these needs. JobUp provides an opportunity for those witho ...",8
JOB2COM,"Stand No- 5D-40, Hall 5",Morocco,"Production of Digital Training Modules : We design and produce innovative and interactive digital training modules to meet your training needs. Utilizing the latest technologies and educational methodologies, our modules are desig ...",,JOB2COM  Production of Digital Training Modules : We design and produce innovative and interactive digital training modules to meet your training needs. Utilizing the latest technologies and educational methodologies  our modules are desig ...,5
JOBBEE,"Stand No- 9D-26, Hall 9",Morocco,JobBee enables scaling tech companies to hire vetted remote developers more efficiently and developers looking for a full-time remote job to grow their career internationally while staying in their home country. To do so we’ve ...,,JOBBEE  JobBee enables scaling tech companies to hire vetted remote developers more efficiently and developers looking for a full-time remote job to grow their career internationally while staying in their home country. To do so we’ve ...,4
JOBEXPO.MA,"Stand No- 21D-34, 21D-33, Hall 21",Republic of Ireland,Unlock exciting career paths in Morocco's booming tech scene! Join us at Gitex Africa from May 29th to 31st in Marrakech with the JobExpo.ma team! We're not just a platform; we're your gateway to limitless career possibilities in ...,"Software Services, Smart Cities, Media, Marketing & Advertising Tech, Education Tech, Cloud Services, Recruitment, Software as a Service - SaaS, Coaching and mentoring, Event Management, Education Technology Solutions","JOBEXPO.MA Software Services, Smart Cities, Media, Marketing & Advertising Tech, Education Tech, Cloud Services, Recruitment, Software as a Service - SaaS, Coaching and mentoring, Event Management, Education Technology Solutions Unlock exciting career paths in  's booming tech scene! Join us at Gitex Africa from May 29th to 31st in Marrakech with the JobExpo.ma team! We're not just a platform; we're your gateway to limitless career possibilities in ...",9
JOBGATE,"Stand No- 9G-24, Hall 9",Morocco,"JOBGATE is your premier online platform connecting ambitious young talent with dynamic career opportunities. Our mission is to bridge the gap between professionals and the next generation of talent, empowering both sides to thrive ...","Smart Manufacturing, Digital Finance, Software Services, Education & Training, Cloud, AI & Machine Learning, HR Tech","JOBGATE Smart Manufacturing, Digital Finance, Software Services, Education & Training, Cloud, AI & Machine Learning, HR Tech JOBGATE is your premier online platform connecting ambitious young talent with dynamic career opportunities. Our mission is to bridge the gap between professionals and the next generation of talent  empowering both sides to thrive ...",8
JOBOP,"Stand No- 9C-30, Hall 9",Morocco,Jobop is a startup that aims to improve the employability of millions of temporary workers. Our platform connects temporary workers with leading companies with the vision that technology and the use of data is the key leverage to ...,,JOBOP  Jobop is a startup that aims to improve the employability of millions of temporary workers. Our platform connects temporary workers with leading companies with the vision that technology and the use of data is the key leverage to ...,1
JOBWINWIN GITEX 2024,"Stand No- 9G-25, Hall 9",Morocco,"Sure, here's your statement translated into English: Jobwinwin offers a simple, efficient, and fast solution by revolutionizing recruitment with a system of bidirectional matches validated by mutual 'likes', which beyond suitabil ...",,JOBWINWIN GITEX 2024  Sure  here's your statement translated into English: Jobwinwin offers a simple  efficient  and fast solution by revolutionizing recruitment with a system of bidirectional matches validated by mutual 'likes'  which beyond suitabil ...,1
JODOOR,"Stand No- 9A-29, Hall 9",Morocco,Jodoor is an Agri-Tech startup aiming to democratize controlled-environment agriculture in Africa and Middle East. Our mission is to support traditional farmers in transitioning to the agriculture of the future through an innovat ...,,JODOOR  Jodoor is an Agri-Tech startup aiming to democratize controlled-environment agriculture in Africa and Middle East. Our mission is to support traditional farmers in transitioning to the agriculture of the future through an innovat ...,1
JTC,"Stand No- 5D-70, Hall 5",United Arab Emirates,"Our Forte ?A significant network of distribution outlets, throughout Africa and the Middle East A management team with in-depth understanding, experience, know-how, and acceptance in the markets. Energetic, talented, and customer- ...","Networking & Infrastructure, Mobile Accessories & Peripherals, Gaming, Data Centres, Consumer Tech, Smart Home & Smart Workplace, Audio Systems & Equipment, Communication Equipment, Computer and Mobile Hardware, Storage & Peripherals, Digital Imaging Equipment, Electronic Equipment & Instruments (Barcode Readers, POS Machines, Etc)","JTC Networking & Infrastructure, Mobile Accessories & Peripherals, Gaming, Data Centres, Consumer Tech, Smart Home & Smart Workplace, Audio Systems & Equipment, Communication Equipment, Computer and Mobile Hardware, Storage & Peripherals, Digital Imaging Equipment, Electronic Equipment & Instruments (Barcode Readers, POS Machines, Etc) Our Forte ?A significant network of distribution outlets  throughout Africa and the Middle East A management team with in-depth understanding  experience  know-how  and acceptance in the markets. Energetic  talented  and customer- ...",4
"JUBIX CO., LTD.","Stand No- 21B-53, Hall 21","Korea, Republic Of","JUBIX Co., Ltd. has core technology based on embedded software and promotes smart grid AMI business, loT social safety business, weather and environmental monitoring and prediction business using IT wireless communication technolo ...","Internet of Things (IOT), Big Data & Analytics, AgriTech & FoodTech, IoT, IoT, Sensors, Smart lighting","JUBIX CO., LTD. Internet of Things (IOT), Big Data & Analytics, AgriTech & FoodTech, IoT, IoT, Sensors, Smart lighting JUBIX Co.  Ltd. has core technology based on embedded software and promotes smart grid AMI business  loT social safety business  weather and environmental monitoring and prediction business using IT wireless communication technolo ...",8
JUNIPER NETWORKS - STARLINK,"Stand No- 11B-26, Hall 11",United States of America,"At Juniper, we strive to deliver network experiences that transform how people connect, work and live. By challenging the inherent complexity in the 5G and cloud era, our solutions power the connections that matter most - from ed ...",,JUNIPER NETWORKS - STARLINK  At Juniper  we strive to deliver network experiences that transform how people connect  work and live. By challenging the inherent complexity in the 5G and cloud era  our solutions power the connections that matter most - from ed ...,4
JURIDIA,"Stand No- 9H-30, Hall 9",Morocco,"Juridia is the first Artificial Intelligence trained exclusively on Moroccan regulations. In addition to providing users with a precise answer from the Moroccan legal corpus, Juridia allows them to vizualise the source in real-ti ...",,JURIDIA  Juridia is the first Artificial Intelligence trained exclusively on   regulations. In addition to providing users with a precise answer from the   legal corpus  Juridia allows them to vizualise the source in real-ti ...,2
JUSTYOL,"Stand No- 21E-14, Hall 21",Morocco,"Justyol is an e-commerce platform (Web/App) focusing on the fashion and apparel category. It is acting as a cross-border marketplace for the suppliers in Morocco, Turkey, and Egypt to sell their products across the MENA region sta ...","Retail Tech, Ecommerce, eLogistics, Platforms, Supply Chain Solutions, E-commerce & M-commerce - Digital Shopper Analytics & Engagement, E-commerce & M-commerce - Mobile Commerce, E-commerce & M-commerce - Multi-Channel Solutions, E-commerce & M-commerce - Product Search & Discovery, Store Operations - Automation","JUSTYOL Retail Tech, Ecommerce, eLogistics, Platforms, Supply Chain Solutions, E-commerce & M-commerce - Digital Shopper Analytics & Engagement, E-commerce & M-commerce - Mobile Commerce, E-commerce & M-commerce - Multi-Channel Solutions, E-commerce & M-commerce - Product Search & Discovery, Store Operations - Automation Justyol is an e-commerce platform (Web/App) focusing on the fashion and apparel category. It is acting as a cross-border marketplace for the suppliers in    Turkey  and Egypt to sell their products across the MENA region sta ...",3
K ELECTRONICS AV PRO,"Stand No- 7B-10, Hall 7",Morocco,Distributor of 16 Audio Video Professional Brands. Absen - Kramer - Bosch - MaxHub - Sennheiser - Xilica - Arthur Holm - Jupiter - Joan - Chief - Vaddio - Projecta - Inogeni - Sharp/NEC & Middle Atlantic - Luxus. Assistance pre s ...,,K ELECTRONICS AV PRO  Distributor of 16 Audio Video Professional Brands. Absen - Kramer - Bosch - MaxHub - Sennheiser - Xilica - Arthur Holm - Jupiter - Joan - Chief - Vaddio - Projecta - Inogeni - Sharp/NEC & Middle Atlantic - Luxus. Assistance pre s ...,1
KALBE,"Stand No- 7A-20, Hall 7",Mauritania,"Kalbe, your new power in digital transactions, offers revolutionary mobile app prepaid virtual cards. Say goodbye to long waits and hassles with traditional prepaid cards. Kalbe provides an instant, secure solution for online paym ...","Digital Finance, Card Service Card","KALBE Digital Finance, Card Service Card Kalbe  your new power in digital transactions  offers revolutionary mobile app prepaid virtual cards. Say goodbye to long waits and hassles with traditional prepaid cards. Kalbe provides an instant  secure solution for online paym ...",3
KALISIMBI TECH (XANAHEALTH),"Stand No- 17B-74, Hall 17",Rwanda,"XanaHealth is a product of Karisimbi Tech Solutions Ltd, an award-winning company headquartered in Rwanda. Our mission is to enable healthcare service providers access to digital tools that improve patient outcomes and enhance eff ...",,KALISIMBI TECH (XANAHEALTH)  XanaHealth is a product of Karisimbi Tech Solutions Ltd  an award-winning company headquartered in Rwanda. Our mission is to enable healthcare service providers access to digital tools that improve patient outcomes and enhance eff ...,9
KAPTIFI,"Stand No- 4D-24, Hall 4",Saudi Arabia,"TechFlipp is a pioneering AI-driven technology company, revolutionizing customer and guest intelligence solutions. With a team of experienced data scientists, developers, and engineers. At the forefront of our offerings is Kaptif ...","Networking & Infrastructure, Internet of Things (IOT), Artificial Intelligence, Computer Vision, Data Extraction, Facial / Iris Recognition, Machine Learning, Predictive APIs, Artificial Intelligence, Cloud Services","KAPTIFI Networking & Infrastructure, Internet of Things (IOT), Artificial Intelligence, Computer Vision, Data Extraction, Facial / Iris Recognition, Machine Learning, Predictive APIs, Artificial Intelligence, Cloud Services TechFlipp is a pioneering AI-driven technology company  revolutionizing customer and guest intelligence solutions. With a team of experienced data scientists  developers  and engineers. At the forefront of our offerings is Kaptif ...",9
KASPERSKY,"Stand No- 11C-20, Hall 11",United Kingdom,"Kaspersky is a global cybersecurity and digital privacy company building a safer world for over 25 years. Kaspersky protects over 400 million consumers and 220,000 businesses worldwide from digital risks and cyberthreats, and offe ...","Ecommerce, Blockchain, Security / Cybersecurity, Telecoms & Mobility, Security / Cybersecurity","KASPERSKY Ecommerce, Blockchain, Security / Cybersecurity, Telecoms & Mobility, Security / Cybersecurity Kaspersky is a global cybersecurity and digital privacy company building a safer world for over 25 years. Kaspersky protects over 400 million consumers and 220 000 businesses worldwide from digital risks and cyberthreats  and offe ...",8
KEED X MOOBITECH,"Stand No- 19B-45, Hall 19",Ghana,"KGL Group is a wholly-owned Ghanaian group of companies, with interests in Technology Innovation, Fin-Tech, Logistics, Trade, Property Development, Gaming and Commerce. The parent company commands a network of specialized business ...","Digital Finance, Software Services, Gaming, Cyber security, Data Governance, Risk & Compliance, Digital Lending, Digital Payment, E-Payment Solutions, Transactional Platforms, Mobile Gaming","KEED X MOOBITECH Digital Finance, Software Services, Gaming, Cyber security, Data Governance, Risk & Compliance, Digital Lending, Digital Payment, E-Payment Solutions, Transactional Platforms, Mobile Gaming KGL Group is a wholly-owned Ghanaian group of companies  with interests in Technology Innovation  Fin-Tech  Logistics  Trade  Property Development  Gaming and Commerce. The parent company commands a network of specialized business ...",7
KEEP IN TOUCH,"Stand No- 7E-1, Hall 7",Morocco,"Keep In Touch stands at the forefront of innovation, offering a groundbreaking range of robotic solutions that revolutionize retail, advertising, and entertainment industries. Our cutting-edge cleaning robots redefine cleanliness ...","Consumer Tech, Smart Home & Smart Workplace, Automation & IoT, Electronic Equipment & Instruments (Barcode Readers, POS Machines, Etc), Healthcare Electronics, Office Automation & Equipment","KEEP IN TOUCH Consumer Tech, Smart Home & Smart Workplace, Automation & IoT, Electronic Equipment & Instruments (Barcode Readers, POS Machines, Etc), Healthcare Electronics, Office Automation & Equipment Keep In Touch stands at the forefront of innovation  offering a groundbreaking range of robotic solutions that revolutionize retail  advertising  and entertainment industries. Our cutting-edge cleaning robots redefine cleanliness ...",3
KENSINGTON,"Stand No- 2A-5, Hall 2",United States of America,"Kensington - The Professionals' Choice Kensington is a leading provider of desktop and mobile device accessories, trusted by IT, educators, business, and home office professionals around the world for more than 40 years. Kensing ...","Digital Finance, Mobile Accessories & Peripherals, Education Tech, Consumer Tech, Smart Home & Smart Workplace, 5G & Telecommunications, Video, Audio Systems & Equipment, Computer and Mobile Hardware, Storage & Peripherals, Headphones, Smart Security","KENSINGTON Digital Finance, Mobile Accessories & Peripherals, Education Tech, Consumer Tech, Smart Home & Smart Workplace, 5G & Telecommunications, Video, Audio Systems & Equipment, Computer and Mobile Hardware, Storage & Peripherals, Headphones, Smart Security Kensington - The Professionals' Choice Kensington is a leading provider of desktop and mobile device accessories  trusted by IT  educators  business  and home office professionals around the world for more than 40 years. Kensing ...",3
KENZ'UP,"Stand No- 20B-30, Hall 20",Morocco,"Kenz’up is a FinTech and is the only digital operator in Morocco offering cashback services. Kenz’up has built an acceptance ecosystem with over 40 brands across Morocco (with 1200 accepting points of sale), allowing users to ...","Digital Finance, Retail Tech, Media, Marketing & Advertising Tech, Automation, Content Marketing, Data Analytics, Digital Marketing, Marketing Automation, Customer Experience & Retention - Loyalty Programmes, Digital Payment","KENZ'UP Digital Finance, Retail Tech, Media, Marketing & Advertising Tech, Automation, Content Marketing, Data Analytics, Digital Marketing, Marketing Automation, Customer Experience & Retention - Loyalty Programmes, Digital Payment Kenz’up is a FinTech and is the only digital operator in   offering cashback services. Kenz’up has built an acceptance ecosystem with over 40 brands across   (with 1200 accepting points of sale)  allowing users to ...",3
KEREYA,"Stand No- 13B-10, Hall 13",Senegal,"Kereya is a transformative electronic medical records (EMR) platform designed to enhance healthcare access and outcomes, particularly in rural Africa. By digitizing medical records and facilitating secure information sharing among ...",,KEREYA  Kereya is a transformative electronic medical records (EMR) platform designed to enhance healthcare access and outcomes  particularly in rural Africa. By digitizing medical records and facilitating secure information sharing among ...,2
KESINO,"Stand No- 2A-3, Hall 2",China,"Beijing KESINO Engineering Technology Co., LTD. (KESINO) is a modern high-tech enterprise focusing on the console field, relying on perfect supply chain management, to provide customers with professional customized solutions and ...","Data Centres, Big Data & Analytics, Data Infrastructure, Cabinets and Enclosures, Data Centre Infrastructure Management","KESINO Data Centres, Big Data & Analytics, Data Infrastructure, Cabinets and Enclosures, Data Centre Infrastructure Management Beijing KESINO Engineering Technology Co.  LTD. (KESINO) is a modern high-tech enterprise focusing on the console field  relying on perfect supply chain management  to provide customers with professional customized solutions and ...",5
KEYSIGHT - STARLINK,"Stand No- 11B-26, Hall 11",United States of America,"At Keysight (NYSE: KEYS), we inspire and empower innovators to bring world-changing technologies to life. As an S&P 500 company, we're delivering market-leading design, emulation, and test solutions to help engineers develop and d ...",,KEYSIGHT - STARLINK  At Keysight (NYSE: KEYS)  we inspire and empower innovators to bring world-changing technologies to life. As an S&P 500 company  we're delivering market-leading design  emulation  and test solutions to help engineers develop and d ...,3
KEZAKOO,"Stand No- 9C-31, Hall 9",Morocco,"Since its inception, Kezakoo has helped more than 6 million students succeed in their education. Kezakoo directly addresses the challenges faced by the public school system in Africa, characterized by limited access to quality e ...","Education Tech, Coaching and mentoring, Content development and design, Educational Support & Other Service, Game Based Learning Programs & Simulations, Learning strategy, Mobile learning solutions","KEZAKOO Education Tech, Coaching and mentoring, Content development and design, Educational Support & Other Service, Game Based Learning Programs & Simulations, Learning strategy, Mobile learning solutions Since its inception  Kezakoo has helped more than 6 million students succeed in their education. Kezakoo directly addresses the challenges faced by the public school system in Africa  characterized by limited access to quality e ...",6
KHABIRY,"Stand No- 9G-26, Hall 9",Morocco,"Khabiry is an innovative platform that offers expert consultation services through Khabiry Meet and Khabiry Brain. Khabiry Meet facilitates direct video consultations with experts across various fields, while Khabiry Brain utilize ...",,KHABIRY  Khabiry is an innovative platform that offers expert consultation services through Khabiry Meet and Khabiry Brain. Khabiry Meet facilitates direct video consultations with experts across various fields  while Khabiry Brain utilize ...,6
